Total words: 114029
word: safe frequency: 28
word: hat frequency: 27
word: “the frequency: 27
word: answer frequency: 27
word:  by frequency: 27
word: scared frequency: 27
word: electronic frequency: 27
word: arms frequency: 27
word: judge frequency: 27
word: dropped frequency: 27
word: folks frequency: 26
word: sorry frequency: 26
word: round frequency: 26
word: call frequency: 26
word: dog frequency: 26
word: you’ve frequency: 26
word: doan’ frequency: 26
word: dogs frequency: 26
word: different frequency: 26
word: fire frequency: 26
word: paper frequency: 26
word:  no frequency: 26
word: nights frequency: 26
word: log frequency: 26
word: watch frequency: 26
word: died frequency: 25
word: candle frequency: 25
word: against frequency: 25
word: once frequency: 25
word: shut frequency: 25
word: cold frequency: 25
word: tin frequency: 25
word: crowd frequency: 25
word: jim” frequency: 25
word: s’i frequency: 25
word: hardly frequency: 25
word: words frequency: 25
word: broke frequency: 25
word: satisfied frequency: 25
word: boys frequency: 25
word: ‘uz frequency: 25
word: together frequency: 24
word: ask frequency: 24
word: “all frequency: 24
word: silas frequency: 24
word: dig frequency: 24
word: window frequency: 24
word: ‘m frequency: 24
word: buck frequency: 24
word: hard frequency: 24
word: slid frequency: 24
word: supper frequency: 24
word: agin frequency: 24
word: heart frequency: 24
word: sign frequency: 24
word: worth frequency: 24
word: ground frequency: 23
word: hold frequency: 23
word: village frequency: 23
word: mars frequency: 23
word: sid frequency: 23
word: women frequency: 23
word: loose frequency: 23
word: him” frequency: 23
word: its frequency: 23
word: ole frequency: 23
word: wrote frequency: 23
word: somehow frequency: 23
word:  i’ll frequency: 23
word: jumped frequency: 23
word: close frequency: 23
word: live frequency: 23
word: person frequency: 23
word: hung frequency: 23
word: care frequency: 23
word: shook frequency: 22
word: happened frequency: 22
word: gang frequency: 22
word: saw frequency: 22
word:  don’t frequency: 22
word: each frequency: 22
word: rich frequency: 22
word: rats frequency: 22
word: far frequency: 22
word: fixed frequency: 22
word: gutenberg frequency: 22
word: hide frequency: 22
word: “don’t frequency: 22
word: forgot frequency: 22
word: den frequency: 22
word: blame frequency: 22
word: waited frequency: 22
word: daylight frequency: 22
word: quick frequency: 22
word: current frequency: 22
word: stole frequency: 22
word: table frequency: 22
word: fifteen frequency: 21
word: lantern frequency: 21
word: plenty frequency: 21
word: places frequency: 21
word: hurt frequency: 21
word: sudden frequency: 21
word: tied frequency: 21
word: ladder frequency: 21
word: stop frequency: 21
word: terms frequency: 21
word:  tom frequency: 21
word: minutes frequency: 21
word: foundation frequency: 21
word: whether frequency: 21
word: whilst frequency: 21
word: yes frequency: 21
word: wasn’t frequency: 21
word: corner frequency: 21
word: notice frequency: 21
word: hanging frequency: 21
word: hair frequency: 21
word: mo’ frequency: 21
word: plan frequency: 21
word: shirt frequency: 21
word: years frequency: 21
word: perfectly frequency: 20
word: line frequency: 20
word: harm frequency: 20
word: fast frequency: 20
word: wigwam frequency: 20
word: blow frequency: 20
word: cents frequency: 20
word: mouth frequency: 20
word: heads frequency: 20
word: outside frequency: 20
word: stairs frequency: 20
word: ahead frequency: 20
word: prisoner frequency: 20
word: cut frequency: 20
word: alone frequency: 20
word: late frequency: 20
word: pie frequency: 20
word: watson frequency: 20
word: yonder frequency: 20
word: hurry frequency: 20
word: between frequency: 20
word: aboard frequency: 20
word: father frequency: 20
word: throw frequency: 20
word: sweat frequency: 20
word: ashore frequency: 20
word: mr frequency: 20
word: fell frequency: 20
word: matter frequency: 20
word: they’ve frequency: 20
word: quiet frequency: 19
word: peter frequency: 19
word: bottom frequency: 19
word: camp frequency: 19
word: me” frequency: 19
word: slipped frequency: 19
word: none frequency: 19
word: worked frequency: 19
word: horse frequency: 19
word: catched frequency: 19
word: bill frequency: 19
word: guns frequency: 19
word: finn frequency: 19
word: tree frequency: 19
word: thick frequency: 19
word: girls frequency: 19
word: dinner frequency: 19
word: top frequency: 19
word: running frequency: 19
word: ought frequency: 19
word: agreement frequency: 19
word: listened frequency: 19
word: leg frequency: 19
word: difference frequency: 19
word: skiff frequency: 19
word: noticed frequency: 19
word: feeling frequency: 19
word: cried frequency: 19
word: further frequency: 19
word: brother frequency: 19
word: trees frequency: 19
word: spread frequency: 18
word: lightning frequency: 18
word: sell frequency: 18
