Total words: 125257
word: likely frequency: 38
word: occasion frequency: 38
word: girl frequency: 38
word: doubt frequency: 37
word: stay frequency: 37
word: fitzwilliam frequency: 37
word: glad frequency: 37
word: minutes frequency: 37
word: different frequency: 37
word: brought frequency: 37
word: believed frequency: 37
word: surprise frequency: 37
word: handsome frequency: 37
word: afraid frequency: 37
word: beyond frequency: 36
word: years frequency: 36
word: also frequency: 36
word: sense frequency: 36
word: amiable frequency: 36
word: entered frequency: 36
word: making frequency: 35
word: information frequency: 35
word: expect frequency: 35
word: saying frequency: 35
word: sometimes frequency: 35
word: surprised frequency: 35
word: care frequency: 35
word: silence frequency: 34
word: mean frequency: 34
word: themselves frequency: 34
word: wishes frequency: 34
word: sorry frequency: 34
word: answered frequency: 34
word: ball frequency: 34
word: thousand frequency: 34
word: days frequency: 34
word: deal frequency: 34
word: wonder frequency: 34
word: whatever frequency: 34
word: night frequency: 34
word: usual frequency: 34
word: satisfied frequency: 34
word: invitation frequency: 34
word: advantage frequency: 34
word: merely frequency: 33
word: men frequency: 33
word: ten frequency: 33
word: hurst frequency: 33
word: speaking frequency: 33
word: society frequency: 33
word: name frequency: 33
word: dinner frequency: 33
word: consider frequency: 33
word: appearance frequency: 33
word: four frequency: 33
word: particularly frequency: 33
word: dance frequency: 32
word: works frequency: 32
word: allow frequency: 32
word: afterwards frequency: 32
word: sensible frequency: 32
word: news frequency: 32
word: door frequency: 32
word: head frequency: 32
word: length frequency: 32
word: determined frequency: 32
word: case frequency: 32
word: ask frequency: 32
word: meet frequency: 32
word: talk frequency: 32
word: full frequency: 32
word: receive frequency: 31
word: put frequency: 31
word: phillips frequency: 31
word: fine frequency: 31
word: understand frequency: 31
word: appear frequency: 31
word: appeared frequency: 31
word: taken frequency: 31
word: instantly frequency: 31
word: alone frequency: 31
word: end frequency: 31
word: officers frequency: 31
word: resolved frequency: 31
word: comfort frequency: 31
word: real frequency: 31
word: necessary frequency: 31
word: five frequency: 30
word: particular frequency: 30
word: exactly frequency: 30
word: younger frequency: 30
word: arrival frequency: 30
word: countenance frequency: 30
word: equal frequency: 30
word: things frequency: 30
word: words frequency: 30
word: air frequency: 30
word: opportunity frequency: 30
word: respect frequency: 30
word: consequence frequency: 30
word: astonishment frequency: 30
word: mention frequency: 30
word: lost frequency: 29
word: week frequency: 29
word: obliged frequency: 29
word: smile frequency: 29
word: neighbourhood frequency: 29
word: already frequency: 29
word: looking frequency: 29
word: matter frequency: 29
word: kindness frequency: 29
word: money frequency: 29
word: foundation frequency: 29
word: mentioned frequency: 28
word: assured frequency: 28
word: offer frequency: 28
word: circumstances frequency: 28
word: year frequency: 28
word: early frequency: 28
word: call frequency: 28
word: credit frequency: 28
word: pain frequency: 28
word: easily frequency: 28
word: thus frequency: 28
word: joined frequency: 28
word: keep frequency: 28
word: highly frequency: 28
word: anyone frequency: 28
word: master frequency: 28
word: meant frequency: 28
word: table frequency: 28
word: forward frequency: 27
word: face frequency: 27
word: absence frequency: 27
word: turn frequency: 27
word: during frequency: 27
word: observed frequency: 27
word: satisfaction frequency: 27
word: liked frequency: 27
word: electronic frequency: 27
word: attachment frequency: 27
word: beauty frequency: 27
word: gutenberg frequency: 27
word: imagine frequency: 27
word: knowing frequency: 27
word: truth frequency: 27
word: supposed frequency: 26
word: following frequency: 26
word: compliment frequency: 26
word: expressed frequency: 26
word: hours frequency: 26
word: reply frequency: 26
word: anxious frequency: 26
word: ago frequency: 26
word: walking frequency: 26
word: wholly frequency: 26
word: silent frequency: 26
word: concern frequency: 26
word: new frequency: 26
word: interest frequency: 26
word: attentions frequency: 26
word: pray frequency: 26
word: exceedingly frequency: 26
word: second frequency: 26
word: allowed frequency: 26
word: true frequency: 26
word: admiration frequency: 25
word: send frequency: 25
word: greater frequency: 25
word: doing frequency: 25
word: paid frequency: 25
word: easy frequency: 25
word: use frequency: 25
word: delight frequency: 25
word: children frequency: 25
word: except frequency: 25
word: express frequency: 25
word: hunsford frequency: 25
word: anybody frequency: 25
word: change frequency: 25
word: entirely frequency: 25
word: small frequency: 25
word: state frequency: 25
word: disposition frequency: 25
word: got frequency: 25
word: bear frequency: 25
word: giving frequency: 25
word: among frequency: 25
word: followed frequency: 25
word: persuaded frequency: 25
word: hour frequency: 25
word: thoughts frequency: 25
word: hand frequency: 24
word: pounds frequency: 24
word: brighton frequency: 24
word: gratitude frequency: 24
word: serious frequency: 24
word: derbyshire frequency: 24
word: attended frequency: 24
word: happened frequency: 24
word: probably frequency: 24
word: hearing frequency: 24
word: pretty frequency: 24
word: living frequency: 24
word: wanted frequency: 24
word: relations frequency: 24
word: several frequency: 24
word: unless frequency: 24
word: temper frequency: 24
word: notice frequency: 24
word: acquainted frequency: 24
